Boltzmann, 2-zmiana
tsp_6_2.txt 10 80
10.0;0.99;10;27.337;55.875
10.0;0.99;100;250.745;5.75
10.0;0.99;1000;2132.52;0.0
10.0;0.99;10000;22536.82;0.0
10.0;0.99;100000;232116.37;0.0
10.0;0.9999;10;22.627;39.125
10.0;0.9999;100;235.604;3.375
10.0;0.9999;1000;2539.41;0.0
10.0;0.9999;10000;23227.43;0.0
10.0;0.9999;100000;231774.33;0.0
10.0;0.99999;10;25.219;50.25
10.0;0.99999;100;226.046;4.25
10.0;0.99999;1000;2564.58;0.0
10.0;0.99999;10000;23217.49;0.0
10.0;0.99999;100000;245364.56;0.0
10.0;0.999999;10;23.649;47.0
10.0;0.999999;100;240.505;7.0
10.0;0.999999;1000;2226.33;0.0
10.0;0.999999;10000;24384.19;0.0
10.0;0.999999;100000;255426.09;0.0
100.0;0.99;10;27.328;38.875
100.0;0.99;100;256.296;1.25
100.0;0.99;1000;2723.75;0.0
100.0;0.99;10000;25213.86;0.0
100.0;0.99;100000;253094.35;0.0
100.0;0.9999;10;27.461;35.125
100.0;0.9999;100;265.973;6.625
100.0;0.9999;1000;2551.77;0.0
100.0;0.9999;10000;25406.96;0.0
100.0;0.9999;100000;248714.66;0.0
100.0;0.99999;10;27.213;32.5
100.0;0.99999;100;241.702;2.125
100.0;0.99999;1000;2454.72;0.0
100.0;0.99999;10000;24143.03;0.0
100.0;0.99999;100000;246414.56;0.0
100.0;0.999999;10;26.47;35.0
100.0;0.999999;100;239.902;5.125
100.0;0.999999;1000;2417.21;0.0
100.0;0.999999;10000;23488.52;0.0
100.0;0.999999;100000;236057.74;0.0
1000.0;0.99;10;28.333;33.125
1000.0;0.99;100;234.893;3.125
1000.0;0.99;1000;2596.89;0.0
1000.0;0.99;10000;23993.45;0.0
1000.0;0.99;100000;234404.25;0.0
1000.0;0.9999;10;29.362;55.0
1000.0;0.9999;100;238.482;5.125
1000.0;0.9999;1000;2379.96;0.0
1000.0;0.9999;10000;24250.33;0.0
1000.0;0.9999;100000;238126.27;0.0
1000.0;0.99999;10;25.164;44.625
1000.0;0.99999;100;244.559;1.25
1000.0;0.99999;1000;2327.08;0.0
1000.0;0.99999;10000;23289.85;0.0
1000.0;0.99999;100000;236107.52;0.0
